annotator_sentiment-train-micro-f1,annotator_sentiment-dev-micro-f1,annotator_sentiment-train-macro-f1,annotator_sentiment-dev-macro-f1,sentiment-train-micro-f1,sentiment-dev-micro-f1,sentiment-train-macro-f1,sentiment-dev-macro-f1,group-train-micro-f1,group-dev-micro-f1,group-train-macro-f1,group-dev-macro-f1,target-train-micro-f1,target-dev-micro-f1,target-train-macro-f1,target-dev-macro-f1,directness-train-f1,directness-dev-f1,avg train,avg dev
0.24574780058651025,0.481444332998997,0.08113472430653047,0.10953902327704244,0.10886907555138434,0.18211382113821137,0.051797276177718246,0.060215053763440864,0.3306351183063512,0.2892768079800499,0.12952780352686574,0.16575351374750522,0.6572229140722291,0.24937655860349128,0.20527914864537994,0.1785380707696642,0.0,0.0,0.20113487346366324,0.19069524247537803
0.3541593949970913,0.4995140913508261,0.0920137839308385,0.11159357359965263,0.22028121005538986,0.40324763193504737,0.08952380952380953,0.11443932411674348,0.3978829389788293,0.41147132169576056,0.2035759630042045,0.2103903905645462,0.7036114570361146,0.6658354114713217,0.3096994113414421,0.27873323563630825,0.7018518518518518,0.7722132471728594,0.3413999800799524,0.38527091417145176
0.2552606243982946,0.053491827637444284,0.1477450086957855,0.034191274798264,0.29103885804916735,0.47653429602888087,0.16184120736551832,0.18458501239493316,0.40473225404732255,0.4538653366583541,0.21063672840336095,0.21704504256735063,0.7406600249066002,0.7007481296758105,0.3269175056484047,0.31235237933252913,0.7083519428316212,0.7883435582822087,0.3607982393717861,0.3579063174861973
0.04282886449523124,0.08888888888888889,0.021760536304075748,0.034281346790665336,0.2974939369442199,0.49830124575311435,0.18088144414857124,0.20262092982648852,0.30666251556662516,0.23940149625935161,0.13577180267029332,0.12219257449104572,0.7957658779576586,0.6034912718204489,0.4219892596883135,0.2812096267937018,0.6511627906976745,0.6755725190839694,0.3171463364969626,0.305106655523075
0.22188357208168238,0.43196544276457877,0.10078258531610983,0.14590916425410064,0.28816753926701566,0.46035805626598464,0.1661130184293893,0.17876760363316302,0.44707347447073476,0.45885286783042395,0.2962218309635788,0.2390248988323352,0.8079078455790785,0.6184538653366584,0.36177362911594824,0.3199917390492851,0.7295788939624556,0.759075907590759,0.37994470990955476,0.4013777272841432
0.14405801879017635,0.08784773060029283,0.0824433528027548,0.048530028354041764,0.2773847802786709,0.31700288184438036,0.17022300799682566,0.12606883097019533,0.48941469489414696,0.47880299251870323,0.33828808595590665,0.31659824598227354,0.75653798256538,0.4164588528678304,0.42499429455353277,0.2832983788888848,0.22058823529411764,0.20195439739413681,0.3226591614590569,0.2529513710467488
0.3184411969380654,0.4326530612244898,0.20463808989182208,0.1806946992804863,0.4834546657842489,0.531390134529148,0.36343521665010675,0.21627112193393538,0.5289539227895392,0.5386533665835411,0.40419123189699147,0.36899156954321466,0.8742216687422167,0.6658354114713217,0.5705472572148106,0.43528259463472213,0.7098844672657253,0.6052104208416833,0.4953075241303918,0.44166470889361586
0.3996483295654358,0.3512304250559284,0.26955551339329864,0.12688414812774534,0.5582564962279967,0.5391498881431768,0.44034399540765035,0.21398583999028215,0.5821917808219178,0.5187032418952618,0.4816829979125482,0.28394538975319733,0.885118306351183,0.6882793017456359,0.6098263590699174,0.3935118908151381,0.7510431154381085,0.7824726134585289,0.5530740993542285,0.4331291932205439
0.25487767110560544,0.3169014084507042,0.17231654435638594,0.03165343335495424,0.5413839891451832,0.4362745098039215,0.4045111868723161,0.11824317518729043,0.5635118306351183,0.48877805486284287,0.40276866391684135,0.20493198549907174,0.8848069738480697,0.5536159600997507,0.526920724522829,0.1337654147921646,0.7760180995475113,0.6606170598911071,0.5030128537722067,0.3271978891046452
0.4792863253085666,0.4227318045862412,0.3654251707740415,0.05818902348008196,0.5763958542293548,0.5158371040723981,0.4599233103824753,0.14845529189683668,0.6768368617683687,0.571072319201995,0.4281837400811905,0.21422415640401693,0.9050435865504357,0.6059850374064838,0.6110114842316094,0.2160526780868347,0.799739921976593,0.6016949152542372,0.5890940283669595,0.37269359226545845
0.5118033584813824,0.33233830845771145,0.38859441393918237,0.06551803309670996,0.6736132393502912,0.5180180180180181,0.5911078901637554,0.11051849380146957,0.6948941469489415,0.4837905236907731,0.5313425868466155,0.1186494944582015,0.9193648816936488,0.6608478802992519,0.6463638263854417,0.2154601463299574,0.8472049689440995,0.6292585170340681,0.6449210347503731,0.34826660168735124
